,Novel,Male/Female,Number Of Quotes,Average Quote Length,Adjective Ratio,Average Sentence Length,Masculine Words,Feminine Words
0,A Christmas Story,Male,49,5.755102040816326,0.05386552505666079,14.155390659100831,28,22
1,A Connecticut Yankee in King Arthur's Court,Male,1251,25.54036770583533,0.05345050040101824,18.72300542215337,496,4
2,A Duet With an Occasional Chorus,Male,83,11.36144578313253,0.06328709253867673,11.561143984220907,68,54
3,A Final Reckoning_A tale of Bush Life in Australia,Male,2130,21.6,0.038330406033681166,16.471392244119514,182,4
4,A Jacobite Exile,Male,1678,34.74016686531585,0.04017649291951092,19.994910078045468,444,20
5,A Knight of the White Cross_A tale of the Siege of Rhodes,Male,1543,48.88788075178225,0.043263942156180686,24.036854228364593,170,11
6,A Lady of Quality,Female,1499,16.50233488992662,0.05106634268178166,21.312053241311318,55,25
7,A Laodicean_A Story of Today,Male,47,15.404255319148936,0.05429400717090661,16.731110322809506,104,45
8,A Pair of Blue Eyes,Male,153,17.15686274509804,0.05714337594421848,14.227263023057215,94,29
9,A Search for a Secret Vol. 1,Male,434,82.3410138248848,0.05441615855719442,23.510889627168694,40,14
10,A Search for a Secret Vol. 2,Male,670,43.03731343283581,0.04617391049500308,21.73150582050319,30,3
11,A Search for a Secret Vol. 3,Male,453,45.57615894039735,0.04779171372525709,23.74763277068753,39,10
12,A Study in Scarlet,Male,857,23.747957992998835,0.0563375275467406,15.225324675324677,47,6
13,A Tale of Two Cities,Male,2778,16.60295176385889,0.05321751608463991,15.994817459403432,143,37
14,A Tangled Tale,Male,843,21.963226571767496,0.05484577013132444,11.24511930585683,34,2
15,A Window in Thrums,Male,1018,17.353634577603138,0.04127364920124312,16.192592592592593,29,12
16,Alice's Adventures in Wonderland,Male,63,18.6984126984127,0.05311550349341576,15.849919311457771,85,2
17,All but Lost Vol. 1,Male,814,29.35135135135135,0.054851506970080996,19.708360337005832,65,15
18,All but Lost Vol. 2,Male,910,29.001098901098903,0.047859164897381457,15.987234042553194,53,4
19,All but Lost Vol. 3,Male,1425,25.371228070175448,0.04895562228895562,14.75234799802274,48,5
20,Almayer's Folly,Male,815,15.298159509202454,0.06189326688470124,16.555163727959698,102,12
21,Among Malay Pirates_A Tale of Adventure and Peril,Male,784,48.49107142857143,0.042614086153771207,21.41497423461655,146,10
22,An Old Fashioned Girl,Female,2194,20.462169553327254,0.05711454648201333,19.740344956880392,122,107
23,An Outcast of the Islands,Male,1430,20.340559440559442,0.06307232010637978,11.854399479223176,200,15
24,Anne of Geierstein Volume 1,Male,1654,34.584643288996375,0.05635318326762068,26.03620019436346,104,30
25,At Aboukir and Acre_A story of Napoleon's Invasion of Egypt,Male,1305,42.2,0.04642582745688705,21.554317022482525,159,35
26,Auld Licht Idylls,Male,542,6.011070110701108,0.04498202143187725,19.766970198675498,42,9
27,Barnaby Rudge,Male,69,11.289855072463768,0.05586686459879678,19.784776902887142,284,86
28,Beric the Briton_A Story of the Roman Invasion,Male,1871,37.85996793158738,0.03980096596915207,22.08992432111589,249,28
29,Better Dead,Male,408,17.193627450980394,0.044601032950314284,12.648125755743651,29,1
30,Bleak House,Male,7776,21.17013888888889,0.05180433260877575,14.425397596212216,184,89
31,Bonnie Prince Charlie_A Tale of Fontenoy and Culloden,Male,1641,29.81170018281536,0.03950995868486446,22.03610524294219,364,7
32,Both Sides the Border_A Tale of Hotspur and Glendower,Male,2044,28.68590998043053,0.036844480319314594,22.3046875,399,10
33,By England's Aid_The Freeing of the Netherlands,Male,1346,40.043833580980674,0.04136473848285417,23.00725952813067,205,21
34,By Pike and Dyke_A Tale of the Rise of the Dutch Republic,Male,1573,38.57406230133503,0.04058193998148249,22.63006697215368,130,21
35,By Right of Conquest_With Cortez in Mexico,Male,1585,39.61514195583596,0.04319305979895637,21.582996557401586,298,22
36,By Sheer Pluck_A Tale of the Ashanti War,Male,961,34.51092611862643,0.05039385189772935,18.193442022348414,337,15
37,Catriona,Male,2368,18.386402027027028,0.04702445049724457,17.098962621439153,147,7
38,Colonel Thorndyke's Secret,Male,2047,45.89936492427943,0.039330942330275814,20.387807454353407,250,15
39,Confidence,Male,1799,17.420789327404112,0.05920964913180377,14.439391160828901,69,12
40,David Copperfield,Male,211,15.270142180094789,0.053027029194381216,15.465102208392755,215,87
41,Desperate Remedies,Male,150,12.506666666666666,0.05660205556630511,15.534047851033886,73,31
42,Doctor Grimshawe's Secret,Male,1122,20.772727272727273,0.06842945261614114,26.489273927392734,85,14
43,Dombey and Son,Male,124,13.06451612903226,0.05606983398839811,19.420981222186047,153,98
44,Dorothy's Double Vol. 1,Male,73,25.17808219178082,0.040044976307123926,18.709103592605512,108,24
45,Dorothy's Double Vol. 2,Male,34,11.558823529411766,0.03887940793809033,17.936050597329587,91,7
46,Dorothy's Double Vol. 3,Male,27,11.925925925925926,0.037524117021695474,18.883959044368602,53,5
47,Dracula,Male,1451,37.62853204686423,0.053172068722584766,16.586102106969207,160,25
48,Eight Cousins,Female,1513,19.841374752148045,0.05762497409439458,20.67737544241764,98,51
49,Emma,Female,2100,35.981904761904765,0.0542836949173376,14.882025598219256,58,18
50,Facing Death_The Hero of the Vaughan Pit,Male,1417,22.78969654199012,0.04352655251668811,17.918623962040332,64,27
51,Fanshawe,Male,621,36.806763285024154,0.055807596666729936,19.45840707964602,36,9
52,Far from the Madding Crowd,Male,3028,21.650594451783363,0.051671446706474215,15.12944569048382,84,42
53,For Name and Fame,Male,860,55.75581395348837,0.04258468384384045,20.49469557195572,334,17
54,For the Temple_A Tale of the Fall of Jerusalem,Male,1246,52.505617977528104,0.03769308317376978,22.944178334561528,191,2
55,Frankenstein_The Modern Prometheus,Female,316,89.56329113924049,0.05253053109911957,21.462868480725625,56,8
56,Great Expectations,Male,3911,13.119406801329589,0.0471224765173647,17.130518234165066,110,62
57,Guy Mannering,Male,2686,30.706254653760237,0.05315324206578595,22.691074918566777,184,29
58,Hard Times,Male,38,8.81578947368421,0.05710334668600675,14.53316919710026,87,12
59,Heart of Darkness,Male,41,802.6341463414633,0.05906727331816705,14.025351147653305,60,2
60,Held Fast for England_A Tale of the Siege of Gibraltar,Male,2289,26.924858016601128,0.03796500143000619,17.04275272376224,166,15
61,In Freedom's Cause_A Story of Wallace and Bruce,Male,1213,44.877164056059364,0.041156200766867865,24.235435435435434,478,3
62,In Greek Waters_A Story of the Grecian War of Independence,Male,2245,39.56703786191537,0.045691275777660405,19.264069264069267,189,29
63,In the Hands of the Cave Dwellers,Male,530,32.011320754716984,0.04304914943212816,19.45730337078652,70,4
64,In the Reign of Terror_The Adventures of a Westminster Boy,Male,1656,27.27657004830918,0.03928231495236486,18.966456195737965,151,22
65,In Times of Peril_A Tale of India,Male,1217,60.02547247329499,0.04702379106051677,21.292390884511395,344,21
66,Israel Potter_His Fifty Years of Exile,Male,903,15.624584717607975,0.058897968038180634,17.689699792960667,157,15
67,Ivanhoe,Male,4023,20.947054436987322,0.05517538523925385,25.421830065359483,319,58
68,Jack and Jill,Female,1481,20.297096556380826,0.060565886334298574,21.632777276825966,138,40
69,Jane Eyre,Female,3682,23.656165127648016,0.049970296773971364,17.016252821670427,56,102
70,Jo's Boys,Female,116,6.741379310344827,0.06133676598396275,22.530998477267786,126,55
71,Kenilworth,Male,4133,22.440600048390998,0.05480208679442313,23.71567891972993,203,70
72,Kidnapped,Male,1626,14.730627306273062,0.047850590157278605,19.612410280157444,129,12
73,Little Dorrit,Male,94,12.148936170212766,0.05731876786220804,18.126524309068643,297,82
74,Little Lord Fauntleroy,Female,1297,14.108712413261372,0.0586536385229972,15.45779793398841,139,16
75,Little Men,Female,2092,18.205544933078393,0.056359919453015536,18.845053219333447,124,34
76,Lord Jim,Male,1482,17.036437246963562,0.06382872759644656,14.291792006875806,209,8
77,Mansfield Park,Female,1657,35.91913095956548,0.05200468662158683,20.11656973146888,83,29
78,Maori and Settler_A Story of The New Zealand War,Male,1533,34.179386823222444,0.04304465426546969,17.893649709798567,186,10
79,Mardi_And a Voyage Thither Vol. 1,Male,501,26.99600798403193,0.06028940256164912,18.979269684290603,186,15
80,Mardi_And a Voyage Thither Vol. 2,Male,2109,22.56330014224751,0.05742393387637758,14.015900821991645,240,24
81,Martin Chuzzlewit,Male,224,14.584821428571427,0.0592821383747568,16.969733293377285,286,61
82,Mathilda,Female,191,104.96858638743456,0.05669822243410747,24.71926427879961,39,9
83,Micah Clark,Male,147,17.959183673469386,0.05463047923352445,18.90280529773699,384,31
84,Moby Dick,Male,11,3.1818181818181817,0.06452851930094104,11.894871794871795,15,0
85,Moods,Female,1205,38.95933609958506,0.0555069763905258,21.241321921065143,38,30
86,Nicholas Nickleby,Male,305,11.970491803278687,0.0598588820982692,16.936644281326462,231,70
87,No Surrender! A Tale of the Rising in La Vendee,Male,1443,37.290367290367286,0.036569448029202464,20.23249692928584,255,14
88,Northanger Abbey,Female,1082,25.307763401109057,0.055598796726760207,19.18573480134036,50,18
89,Oliver Twist,Male,56,6.857142857142858,0.05101548603643891,14.972382369350939,107,24
90,Omoo_Adventures in the South Seas,Male,621,56.293075684380035,0.05949952618814346,21.30215534770232,140,26
91,On the Irrawaddy_A Story of the First Burmese War,Male,1272,45.49449685534593,0.04322400203407068,21.35169738118332,248,17
92,On the Pampas_The Young Settlers,Male,758,68.37994722955145,0.04881455753548777,18.1664673046252,121,16
93,Orange and Green_A Tale of the Boyne and Limerick,Male,1118,39.53846153846154,0.04070601117590315,20.929505035354616,309,5
94,Our Mutual Friend,Male,219,31.515981735159816,0.055838850407561896,15.620353181969634,200,99
95,Personal Recollections of Joan of Arc Vol. 1,Male,895,23.185474860335198,0.051048856125549484,20.432706580900547,279,6
96,Personal Recollections of Joan of Arc Vol. 2,Male,741,17.659919028340074,0.05004946281086802,18.9248790425261,287,32
97,Persuasion,Female,794,64.08060453400503,0.05263729214980017,22.193623039341738,53,12
98,Peveril of the Peak,Male,4081,24.37858368047048,0.05824252159944428,26.963549731983324,631,60
99,Pride and Prejudice,Female,1751,30.49171901770417,0.04998843332834379,16.93286219081272,78,9
100,Prince Otto,Male,37,5.783783783783784,0.05031916588049351,14.061918164104785,76,21
101,Proverb Stories,Female,1465,33.37952218430034,0.06527943941206632,13.138441817404928,86,52
102,Quentin Durward,Male,3146,23.52511125238398,0.05506549051055866,26.992055467282967,812,58
103,Redgauntlet,Male,76,12.06578947368421,0.055959728453723774,24.5440031152648,244,36
104,Rob Roy,Male,2566,27.923616523772413,0.054193548387096765,25.79189224877856,299,44
105,Roderick Hudson,Male,2978,18.114506380120886,0.06184895047497194,14.474701901385755,96,27
106,Rodney Stone,Male,1875,21.6784,0.054806315290065806,17.712027103331447,117,33
107,Rose in Bloom,Female,1805,23.893074792243773,0.056296497144503375,21.509938162544174,99,39
108,"Rujub, the Juggler",Male,3000,32.912,0.04129696996584002,18.31946114986769,166,35
109,Saint Bartholomew's Eve,Male,2190,31.778082191780825,0.037905010497645115,20.490776431718057,330,16
110,Sense and Sensibility,Female,1553,33.1481004507405,0.0486682307479989,19.77459749552773,65,11
111,Shirley,Female,4569,23.811118406653534,0.05369473358755024,13.485087018018572,117,111
112,St. George for England,Male,920,72.01847826086956,0.044332248649736665,22.893975903614454,543,7
113,Strange Case of Dr Jekyll and Mr Hyde,Male,439,15.849658314350796,0.05268238460188381,17.857943925233645,28,4
114,Sylvie and Bruno,Male,2457,11.532356532356534,0.06316555327733316,12.814890079438387,66,14
115,Sylvie and Bruno Concluded,Male,2687,14.213993301079269,0.06556371355678034,11.697101016138673,76,9
116,That Lass O Lowrie's,Female,2005,13.707231920199499,0.05423083029052232,14.113068181818182,83,15
117,The Abbot,Male,3816,22.963574423480072,0.05335827859891746,27.093112057570863,171,43
118,The American,Male,3779,15.865043662344535,0.05948346998612989,13.171720088555205,114,38
119,The American Claimant,Male,1442,21.83980582524272,0.05336005882771545,15.252557399408955,78,10
120,The Antiquary,Male,3342,26.9721723518851,0.059777347531461765,23.22366503246323,194,33
121,The Awkward Age,Male,5496,12.970524017467248,0.05830659785186219,11.437505129257286,94,12
122,The Battle of Life,Male,27,8.777777777777779,0.053130603522389526,13.692243186582811,15,6
123,The Black Arrow,Male,2017,18.05057015369361,0.04527172751471817,15.781835564053535,119,6
124,The Black Dwarf,Male,1175,23.666382978723405,0.05787734018493985,22.84667673716012,59,9
125,The Blithedale Romance,Male,913,20.12048192771084,0.06226568522879682,20.083778966131906,75,17
126,The Bostonians,Male,798,13.972431077694235,0.05571668920244008,21.737288135593218,84,12
127,The Bravest of the Brave,Male,724,51.00966850828728,0.045860964160643766,24.10600616016427,343,2
128,The Chimes,Male,33,15.787878787878787,0.05994326839674614,13.484933708316591,38,10
129,The Confidence Man_His Masquerade,Male,2059,24.03399708596406,0.05899352430228655,17.994046511627907,112,124
130,The Cornet of Horse,Male,1432,37.52304469273743,0.0445547695333566,20.806895215959717,238,24
131,The Cricket on the Hearth,Male,766,13.801566579634464,0.05487680946681421,14.643301534632931,35,8
132,The Doings of Raffles Haw,Male,732,27.192622950819672,0.05756504583007933,14.659050339164587,42,7
133,The Dolliver Romance,Male,145,41.77931034482759,0.07008074614620666,23.80769230769231,22,4
134,The Dragon and the Raven,Male,685,77.91240875912409,0.04366045993146443,23.640409065782197,271,7
135,The Europeans,Male,2067,10.322689888727623,0.06207526118267573,12.216115051221434,42,23
136,The Fair Maid of Perth,Male,3579,27.33500977926796,0.052940627375327266,23.22920816733068,540,34
137,The Firm of Girdlestone,Male,3120,20.796794871794873,0.05581671063161327,14.950484506442336,108,25
138,The Fortunes of Nigel,Male,3857,24.91599688877366,0.053873744038992484,25.61170008941116,619,71
139,The Gilded Age,Male,2209,24.491625169760074,0.05136378641577948,16.24801527484675,230,22
140,The Golden Canyon,Male,781,26.492957746478872,0.04008171164390927,14.511558538404175,45,3
141,The Great Shadow,Male,705,42.804255319148936,0.04881117527502662,18.228178694158075,76,5
142,The Hand of Ethelberta,Male,105,8.219047619047616,0.05029225452659429,17.096235795454547,124,34
143,The Haunted Man and the Ghost's Bargain,Male,896,16.564732142857142,0.05663353500432153,14.464173228346455,21,4
144,The Heart of Mid Lothian Vol. 1,Male,1780,28.41797752808989,0.0552643124307523,25.173883473135344,138,32
145,THe House of the Seven Gables,Male,943,22.31071049840933,0.06878306878306878,21.501095835823865,105,24
146,The Invisible Man,Male,1237,18.42683912691997,0.048495297805642636,11.447233948011553,36,7
147,The Island of Doctor Moreau,Male,659,11.836115326251896,0.05295546558704453,14.588364091335627,37,3
148,The Last Man,Female,770,65.20129870129871,0.05949344023323616,24.348690525161114,170,22
149,The Light that Failed,Male,59,16.11864406779661,0.05759063838679344,11.924342635909015,82,18
150,The Lion of Saint Mark,Male,2035,29.641277641277643,0.03778753630769655,20.369838123554675,105,10
151,The Lion of the North,Male,965,33.182383419689124,0.04291725105189341,24.537843268586737,298,2
152,The Marble Faun Vol. 1,Male,896,19.287946428571427,0.06769332334607132,21.540327868852454,44,9
153,The Mark of Cain,Male,1247,16.320769847634324,0.061145799978653013,15.920116003163722,67,12
154,The Master of Ballantrae,Male,1561,15.436899423446507,0.04941688263606072,18.147058823529417,120,4
155,The Mayor of Casterbridge,Male,2157,15.191469633750579,0.052848116765440566,16.320767743717205,106,31
156,The Mysterious Key and What it Opened,Female,423,29.49408983451537,0.05656059285091543,16.84974093264249,17,7
157,The Mystery of Cloomber,Male,780,21.31282051282051,0.05654018150729975,19.06201834862385,75,6
158,The N Of The Narcissus,Male,983,8.84028484231943,0.06322382248804502,10.40069495245062,80,14
159,The Narrative of Arthur Gordon Pym of Nantucket,Male,66,238.8939393939394,0.055827216062402055,25.838015955601808,50,5
160,The Old Curiosity Shop,Male,65,9.76923076923077,0.06119095601427998,20.679444811632518,119,49
161,The Parasite,Male,220,39.82727272727273,0.05020005774862847,13.24140127388535,23,3
162,The Pickwick Papers,Male,782,8.269820971867007,0.062219162841735474,13.095217522789133,276,65
163,The Portrait of a Lady Vol. 1,Male,2999,14.454818272757587,0.06558528472415484,15.60171807887544,77,23
164,The Portrait of a Lady Vol. 2,Male,2688,14.004092261904766,0.06011772257350832,14.486019634646453,54,23
165,The Prince and the Pauper,Male,1056,21.084280303030305,0.059453338714740574,18.87503227472244,506,14
166,The Professor,Female,1228,20.886807817589574,0.06203444855261971,22.92449030958973,65,51
167,The Queen's Cup,Male,2106,26.50712250712252,0.03749686766749436,17.52882797731569,136,9
168,The Refugees,Male,2974,19.55749831876261,0.048476977411424815,15.5411388513098,447,60
169,The Return of the Native,Male,3231,18.94614670380687,0.04680712423979149,15.094019760790431,86,24
170,The Reverberator,Male,1352,12.13387573964497,0.062180037081108,14.271684945164509,43,3
171,The Scarlet Letter,Male,726,20.825068870523413,0.06641489650887344,21.957436027362558,124,13
172,The Sign of the Four,Male,858,24.53030303030303,0.05253702090592335,14.118981907390369,40,7
173,The Stark Munro Letters,Male,755,18.985430463576158,0.05876197120568275,17.266566588033456,104,17
174,The Talisman,Male,2310,24.07792207792208,0.055712517062950384,26.51489533011272,560,35
175,The Tiger of Mysore,Male,2044,31.02446183953033,0.03940789355497404,19.27459072774797,119,44
176,The Time Machine,Male,186,139.90322580645162,0.06270088633485926,16.27301878149336,35,10
177,The Tragedy of Puddnhead Wilson,Male,773,40.55627425614489,0.050293916011494084,17.381615598885794,71,11
178,The Tragedy of the Korosko,Male,952,27.481092436974787,0.05782576472173561,15.482576228998132,69,18
179,The Trumpet Major,Male,53,5.79245283018868,0.047689983036592484,16.209328151027208,195,38
180,The War of the Worlds,Male,418,11.507177033492825,0.05883239274560297,17.055060728744937,45,8
181,The Well Beloved,Male,27,6.0,0.0584644104996279,16.34833127317676,46,11
182,The White Company,Male,3212,22.342777085927768,0.056389250440241935,18.411188142481468,176,37
183,The Wonderful Visit,Male,1401,15.035688793718775,0.04845581412963208,9.563569116967177,27,14
184,The Woodlanders,Male,2202,22.252497729336966,0.049366389847678785,17.184931506849313,72,39
185,The Young Buglers,Male,1480,35.24662162162162,0.048990363469151116,21.190695809103673,203,16
186,The Young Carthaginian,Male,969,33.17750257997936,0.046300708991062464,23.725548310610552,217,13
187,The Young Colonists,Male,665,46.702255639097736,0.04777139851864837,21.659830462127427,184,4
188,The Young Franc Tireurs and Their Adventures in the Franco-Prussian War,Male,1984,24.376512096774192,0.04500777581148062,17.933547514372673,165,17
189,Theo A Sprightly Love Story,Female,609,36.86371100164204,0.059763997644338776,15.378806333739345,26,18
190,Those Other Animals,Male,121,14.991735537190086,0.06651965163019205,25.798168955472327,54,12
191,Through Russian Snows,Male,1402,42.690442225392296,0.04500472784229938,20.604823428079246,224,7
192,Through the Fray,Male,1698,32.18256772673734,0.04402118264431076,18.31253232201345,118,12
193,Through the Looking Glass,Male,145,7.682758620689657,0.05476173880718385,14.131176213379971,86,3
194,Through the Sikh War A Tale of the Conquest of the Punjaub,Male,1503,38.90751829673985,0.044316860654988174,22.352990450661753,295,31
195,Treasure Island,Male,1244,15.045016077170418,0.04584700200473847,16.08625336927224,74,2
196,Two on a Tower,Male,41,771.3658536585367,0.05257187731774357,16.728787358296117,44,19
197,Typee_A Romance of the South Seas,Male,11,3.1818181818181817,0.06405728786247299,28.15872247761916,192,20
198,Uncle Bernac,Male,23,54.08695652173913,0.051317299924887684,17.111892043857182,57,35
199,Under Drake's Flag,Male,885,61.437288135593214,0.04650320552336333,24.180534434064736,208,14
200,Under the Greenwood Tree,Male,1492,18.30495978552279,0.050203887094211724,16.31829170024174,37,35
201,Under the Lilacs,Female,1554,25.630630630630627,0.05478193740044756,20.757605495583906,119,36
202,Under Wellington's Command,Male,1805,33.11468144044321,0.04535252390782865,21.315449256625726,198,10
203,Washington Square,Male,1789,13.479597540525432,0.05927693825115984,13.466559226430302,29,7
204,Waverley,Male,3837,35.36591086786552,0.05709957750206076,32.74156775179222,300,70
205,When London Burned,Male,2070,32.506280193236705,0.03798399868127469,20.629213483146067,230,12
206,When the Sleeper Wakes,Male,1602,12.659176029962547,0.06444827485465543,12.570222222222224,94,19
207,White Jacket,Male,1114,89.01795332136446,0.06087257739706323,21.52045900649253,169,24
208,With Clive in India,Male,1038,58.60115606936416,0.044916043498507134,20.491634918005637,369,14
209,With Frederick the Great,Male,1632,33.870710784313715,0.04626689042368972,20.717781402936374,595,20
210,With Lee in Virginia,Male,1832,36.058951965065496,0.041682701071435804,19.84886807181889,287,6
211,With Wolfe in Canada,Male,1622,44.70098643649815,0.04161023026053701,20.103842489679266,182,16
212,Won By the Sword,Male,1757,41.01422879908936,0.043293483972674726,22.38992537313433,311,16
213,Work_A Story of Experience,Female,1714,27.100350058343054,0.059341024151381865,22.038503450780965,69,32
214,Wulf the Saxon,Male,1737,37.83937823834197,0.03938974914228316,22.305384230705123,465,16
